plot,lidar,Total return count,Return 1 count,Return 2 count,Return 3 count,Return 4 count,Return 5 count,Return 6 count,Return 7 count,Return 8 count,Return 9 count,Other return count,Elev minimum,Elev maximum,Elev mean,Elev mode,Elev stddev,Elev variance,Elev CV,Elev IQ,Elev skewness,Elev kurtosis,Elev AAD,Elev MAD median,Elev MAD mode,Elev L1,Elev L2,Elev L3,Elev L4,Elev L CV,Elev L skewness,Elev L kurtosis,Elev P01,Elev P05,Elev P10,Elev P20,Elev P25,Elev P30,Elev P40,Elev P50,Elev P60,Elev P70,Elev P75,Elev P80,Elev P90,Elev P95,Elev P99,Canopy relief ratio,Elev SQRT mean SQ,Elev CURT mean CUBE,Int minimum,Int maximum,Int mean,Int mode,Int stddev,Int variance,Int CV,Int IQ,Int skewness,Int kurtosis,Int AAD,Int L1,Int L2,Int L3,Int L4,Int L CV,Int L skewness,Int L kurtosis,Int P01,Int P05,Int P10,Int P20,Int P25,Int P30,Int P40,Int P50,Int P60,Int P70,Int P75,Int P80,Int P90,Int P95,Int P99,Percentage first returns above 20.00,Percentage all returns above 20.00,(All returns above 20.00) / (Total first returns) * 100,First returns above 20.00,All returns above 20.00,Percentage first returns above mean,Percentage first returns above mode,Percentage all returns above mean,Percentage all returns above mode,(All returns above mean) / (Total first returns) * 100,(All returns above mode) / (Total first returns) * 100,First returns above mean,First returns above mode,All returns above mean,All returns above mode,Total first returns,Total all returns,Profile area
N,2012,55110,37909,17201,0,0,0,0,0,0,0,0,-0.51,31.24,15.260915,21.160635,7.59319,57.656539,0.497558,11.52,-0.516949,2.263059,6.351693,4.969999,4.759365,15.260915,4.284375,-0.608574,0.259973,0.280742,-0.142045,0.060679,-0.09,0.34,3.11,7.5,9.61,11.68,14.93,17.110001,18.82,20.379999,21.129999,21.879999,23.780001,25.290001,28.439102,0.496722,17.045557,18.138343,0,280,90.2272,8.888889,55.762729,3109.48194,0.618026,99,0.04875,1.842338,48.345586,90.2272,32.087285,0.394407,-0.07218,0.355628,0.012292,-0.002249,4,9,14,27,36,48,73,94,112,127,135,143,164,180,200,43.913055,32.380693,47.073254,16647,17845,72.489382,34.005118,58.644529,24.763201,85.254161,35.999367,27480,12891,32319,13647,37909,55110,52.638489
M,2012,55018,37405,17613,0,0,0,0,0,0,0,0,-1.61,35.470001,16.82017,20.167144,7.161036,51.280439,0.425741,9.23,-0.646211,2.805555,5.738491,4.460001,4.337143,16.82017,3.997278,-0.599309,0.447792,0.237648,-0.149929,0.112024,-0.04,1.66,5.64,10.964004,12.82,14.150996,16.33,18.190001,19.719999,21.15,22.049999,22.99,25,26.33,29.1,0.497038,18.281073,19.228106,0,280,92.342215,8.888889,57.145984,3265.663463,0.61885,106,-0.032218,1.718962,50.26115,92.342215,32.858228,-0.275978,-0.767334,0.355831,-0.008399,-0.023353,4,9,13,26,35,47,75,99,117,133,141,148,166,179,198,49.578933,37.956669,55.829435,18545,20883,70.947734,48.24756,57.372133,36.82613,84.387114,54.166555,26538,18047,31565,20261,37405,55018,56.749381
L,2012,58692,40042,18650,0,0,0,0,0,0,0,0,-0.71,34.09,16.095728,-0.157619,7.375428,54.396942,0.458223,9.49,-0.578775,2.722006,5.92009,4.35,17.82762,16.095728,4.109748,-0.607115,0.472129,0.255332,-0.147726,0.11488,-0.11,0.51,4.17,9.65,11.82,13.46,15.88,17.67,19.18,20.57,21.309999,22.1,24.129999,25.744492,30.74,0.482923,17.705041,18.723972,0,360,94.13041,5.714286,61.380813,3767.60423,0.652083,105,0.239208,2.137697,52.459736,94.13041,35.123738,1.882853,0.533312,0.373139,0.053606,0.015184,4,9,13,26,35,47,74,96,115,131,140,150,179,199,240,44.802957,34.236352,50.182309,17940,20094,72.558813,99.83767,58.973966,99.412186,86.441736,145.7145,29054,39977,34613,58347,40042,58692,51.331366
K,2012,55744,36767,18977,0,0,0,0,0,0,0,0,-0.63,35.43,17.54325,19.975714,7.283821,53.054053,0.415192,9.21,-0.714569,2.902799,5.793094,4.380001,4.245715,17.54325,4.047422,-0.655769,0.484719,0.230711,-0.162022,0.11976,-0.05,2.06,6.12,11.78,13.63,15.08,17.17,18.969999,20.469999,22.01,22.84,23.67,25.790001,27.32,29.51,0.503973,18.995229,19.929118,0,340,89.677418,10.793651,59.034489,3485.070939,0.658298,103,0.227104,1.969889,50.931777,89.677418,33.86834,2.054539,0.064353,0.377669,0.060663,0.0019,4,9,13,25,33,43,67,90,109,126,136,146,173,189,204,57.198031,43.310491,65.664863,21030,24143,72.992085,57.440096,57.97754,43.518585,87.902195,65.980363,26837,21119,32319,24259,36767,55744,58.413114
J,2012,137222,98807,38415,0,0,0,0,0,0,0,0,-1.16,35.900002,19.729612,21.781906,7.435145,55.281382,0.376852,9.290001,-0.552413,3.023825,5.86922,4.549999,4.518094,19.729612,4.155324,-0.461838,0.564319,0.210614,-0.111144,0.135806,0.05,5.32,9.33,13.79,15.4,16.66,19.02,20.82,22.299999,23.809999,24.690001,25.719999,28.719999,31.059999,33.439999,0.56367,21.084083,22.052803,0,77,25.755994,4.888889,14.804419,219.170819,0.574795,24,0.142669,2.123209,12.531682,25.755994,8.495979,0.225564,0.288659,0.329864,0.026549,0.033976,2,4,6,10,13,16,21,26,31,35,37,39,45,50,58,67.068123,55.046567,76.448025,66268,75536,68.739057,54.442499,56.739444,43.611083,78.799073,60.566559,67919,53793,77859,59844,98807,137222,57.983093
I,2012,516395,365700,150695,0,0,0,0,0,0,0,0,-1.38,33.369999,19.628538,21.786666,6.018173,36.218405,0.306603,7.65,-0.841815,3.910422,4.664437,3.780001,3.686666,19.628538,3.303286,-0.462957,0.483948,0.16829,-0.14015,0.146505,0.34,8.13,12.08,15.16,16.290001,17.27,18.969999,20.41,21.790001,23.17,23.940001,24.709999,26.459999,27.700001,30.58,0.604562,20.530413,21.18782,0,75,25.275719,5.952381,14.285011,204.061533,0.565167,25,0.040352,1.989091,12.212812,25.275719,8.212914,0.025599,0.167331,0.324933,0.003117,0.020374,2,4,5,10,12,15,21,26,30,35,37,39,44,48,55,66.50834,52.800279,74.557834,243221,272658,69.297785,52.310364,55.474201,40.003679,78.333607,56.488105,253422,191299,286466,206577,365700,516395,63.167757
H,2012,50107,38373,11734,0,0,0,0,0,0,0,0,-0.49,32.349998,16.772933,20.882062,6.373925,40.626915,0.380013,8.905,-0.629997,2.838187,5.204803,4.129999,3.767937,16.772933,3.561776,-0.538428,0.351407,0.212353,-0.151168,0.09866,0.09,4.453001,7.41,11.27,12.64,13.94,16.24,18.129999,19.629999,20.93,21.545,22.219999,23.82,24.959999,28.499414,0.525668,17.943171,18.757647,0,72,24.59794,32,12.46518,155.380715,0.506757,20,-0.141764,2.054657,10.527754,24.59794,7.149795,-0.321041,0.287051,0.290666,-0.044902,0.040148,2,4,6,11,14,17,22,26,29,33,34,36,40,43,49,45.631043,37.312152,48.721757,17510,18696,67.52404,37.708806,57.660606,30.426886,75.292523,39.731061,25911,14470,28892,15246,38373,50107,57.803367
G,2012,50691,38610,12081,0,0,0,0,0,0,0,0,-0.75,34.740002,17.181407,18.966668,6.784289,46.026576,0.394862,9.389999,-0.529442,2.800708,5.515696,4.639999,4.626667,17.181407,3.818962,-0.432118,0.383816,0.222273,-0.113151,0.100503,0.03,4.07,7.59,11.72,12.93,14,15.97,18.1,19.790001,21.49,22.32,23.25,25.27,26.469999,29.431015,0.505252,18.472315,19.380151,0,66,23.651062,22,12.298791,151.260248,0.52001,20,-0.059068,2.103796,10.355106,23.651062,7.054466,-0.180672,0.310155,0.298273,-0.025611,0.043966,2,4,6,10,13,16,21,25,28,31,33,35,39,43,49,46.317016,38.649859,50.743331,17883,19592,62.854183,53.900544,54.350871,45.625456,71.357161,59.90158,24268,20811,27551,23128,38610,50691,57.337183
F,2012,51833,39074,12759,0,0,0,0,0,0,0,0,-0.56,39.040001,16.645095,17.668572,6.32241,39.972866,0.379836,7.7,-0.228732,3.444617,4.885206,3.76,3.708572,16.645095,3.505942,-0.205551,0.573675,0.210629,-0.058629,0.163629,0.05,5.1,8.4,11.64,12.88,13.94,15.73,17.25,18.549999,19.870001,20.58,21.360001,23.780001,26.77,31.436798,0.434472,17.805372,18.710176,0,52,20.14674,23.936508,10.502164,110.295452,0.521284,17,-0.0415,2.09692,8.873438,20.14674,6.022691,-0.134007,0.246099,0.298941,-0.02225,0.040862,2,3,5,9,11,14,18,21,24,27,28,30,33,36,42,35.402058,29.02591,38.503864,13833,15045,65.143062,56.774326,54.403565,46.806089,72.168194,62.089881,25454,22184,28199,24261,39074,51833,51.876453
N,2017,56062,40091,13413,2361,197,0,0,0,0,0,0,-1.01,32,14.49694,0.037937,8.120472,65.942072,0.560151,13.27,-0.428802,1.985451,6.964674,5.59,16.642063,14.49694,4.605051,-0.576126,0.106112,0.317657,-0.125107,0.023042,-0.17,0.1,0.99,5.6,7.7,9.71,14.06,16.68,18.540001,20.16,20.969999,21.76,23.950001,25.16,28.190001,0.469765,16.616322,17.847375,1,117,33.476847,4.68254,20.672401,427.348164,0.617513,32,0.489554,2.664283,17.091229,33.476847,11.714649,1.158468,0.749297,0.349933,0.098891,0.063962,2,5,7,13,16,19,26,32,38,44,48,51,61,71,86,41.590382,30.930042,43.251603,16674,17340,73.210945,98.648076,58.485248,95.95983,81.783942,134.187224,29351,39549,32788,53797,40091,56062,50.413639
